region,year,scenario,cumulative_capacity_GW
world,2007,STEPS,7.3
world,2008,STEPS,10.1
world,2009,STEPS,16.4
world,2010,STEPS,35.6
world,2011,STEPS,48.9
world,2012,STEPS,95.6
world,2013,STEPS,132.7
world,2014,STEPS,174.4
world,2015,STEPS,225.3
world,2016,STEPS,308.7
world,2017,STEPS,408.5
world,2018,STEPS,510.3
world,2019,STEPS,627.3
world,2020,STEPS,778.5
world,2021,STEPS,949
world,2022,STEPS,1177.3
world,2023,STEPS,1617.5075
world,2024,STEPS,2057.715
world,2025,STEPS,2497.9225
world,2026,STEPS,2938.13
world,2027,STEPS,3378.3375
world,2028,STEPS,3818.545
world,2029,STEPS,4258.7525
world,2030,STEPS,4698.96
world,2031,STEPS,5193.97
world,2032,STEPS,5688.98
world,2033,STEPS,6183.99
world,2034,STEPS,6679
world,2035,STEPS,7174.01
world,2036,STEPS,7639.158
world,2037,STEPS,8104.306
world,2038,STEPS,8569.454
world,2039,STEPS,9034.602
world,2040,STEPS,9499.75
world,2041,STEPS,9886.142
world,2042,STEPS,10272.534
world,2043,STEPS,10658.926
world,2044,STEPS,11045.318
world,2045,STEPS,11431.71
world,2046,STEPS,11673.206
world,2047,STEPS,11914.702
world,2048,STEPS,12156.198
world,2049,STEPS,12397.694
world,2050,STEPS,12639.19
world,2007,TDS,7.3
world,2008,TDS,10.1
world,2009,TDS,16.4
world,2010,TDS,35.6
world,2011,TDS,48.9
world,2012,TDS,95.6
world,2013,TDS,132.7
world,2014,TDS,174.4
world,2015,TDS,225.3
world,2016,TDS,308.7
world,2017,TDS,408.5
world,2018,TDS,510.3
world,2019,TDS,627.3
world,2020,TDS,778.5
world,2021,TDS,949
world,2022,TDS,1177.3
world,2023,TDS,1702.21125
world,2024,TDS,2227.1225
world,2025,TDS,2752.03375
world,2026,TDS,3276.945
world,2027,TDS,3801.85625
world,2028,TDS,4326.7675
world,2029,TDS,4851.67875
world,2030,TDS,5376.59
world,2031,TDS,6030.932
world,2032,TDS,6685.274
world,2033,TDS,7339.616
world,2034,TDS,7993.958
world,2035,TDS,8648.3
world,2036,TDS,9276.036
world,2037,TDS,9903.772
world,2038,TDS,10531.508
world,2039,TDS,11159.244
world,2040,TDS,11786.98
world,2041,TDS,12281.468
world,2042,TDS,12775.956
world,2043,TDS,13270.444
world,2044,TDS,13764.932
world,2045,TDS,14259.42
world,2046,TDS,14615.8
world,2047,TDS,14972.18
world,2048,TDS,15328.56
world,2049,TDS,15684.94
world,2050,TDS,16041.32
China,2012,STEPS,4
China,2013,STEPS,17.5
China,2014,STEPS,22.8
China,2015,STEPS,43.2
China,2016,STEPS,77.5
China,2017,STEPS,130.6
China,2018,STEPS,175.1
China,2019,STEPS,205.2
China,2020,STEPS,264.8
China,2021,STEPS,328.7
China,2022,STEPS,428.7
China,2023,STEPS,678.22375
China,2024,STEPS,927.7475
China,2025,STEPS,1177.27125
China,2026,STEPS,1426.795
China,2027,STEPS,1676.31875
China,2028,STEPS,1925.8425
China,2029,STEPS,2175.36625
China,2030,STEPS,2424.89
China,2031,STEPS,2694.796
China,2032,STEPS,2964.702
China,2033,STEPS,3234.608
China,2034,STEPS,3504.514
China,2035,STEPS,3774.42
China,2036,STEPS,4020.822
China,2037,STEPS,4267.224
China,2038,STEPS,4513.626
China,2039,STEPS,4760.028
China,2040,STEPS,5006.43
China,2041,STEPS,5198.548
China,2042,STEPS,5390.666
China,2043,STEPS,5582.784
China,2044,STEPS,5774.902
China,2045,STEPS,5967.02
China,2046,STEPS,6046.04
China,2047,STEPS,6125.06
China,2048,STEPS,6204.08
China,2049,STEPS,6283.1
China,2050,STEPS,6362.12
China,2012,TDS,4
China,2013,TDS,17.5
China,2014,TDS,22.8
China,2015,TDS,43.2
China,2016,TDS,77.5
China,2017,TDS,130.6
China,2018,TDS,175.1
China,2019,TDS,205.2
China,2020,TDS,264.8
China,2021,TDS,328.7
China,2022,TDS,428.7
China,2023,TDS,694.8925
China,2024,TDS,961.085
China,2025,TDS,1227.2775
China,2026,TDS,1493.47
China,2027,TDS,1759.6625
China,2028,TDS,2025.855
China,2029,TDS,2292.0475
China,2030,TDS,2558.24
China,2031,TDS,2849.86
China,2032,TDS,3141.48
China,2033,TDS,3433.1
China,2034,TDS,3724.72
China,2035,TDS,4016.34
China,2036,TDS,4273.124
China,2037,TDS,4529.908
China,2038,TDS,4786.692
China,2039,TDS,5043.476
China,2040,TDS,5300.26
China,2041,TDS,5504.534
China,2042,TDS,5708.808
China,2043,TDS,5913.082
China,2044,TDS,6117.356
China,2045,TDS,6321.63
China,2046,TDS,6407.146
China,2047,TDS,6492.662
China,2048,TDS,6578.178
China,2049,TDS,6663.694
China,2050,TDS,6749.21
India,2012,STEPS,0.9
India,2013,STEPS,0.2
India,2014,STEPS,3.3
India,2015,STEPS,5
India,2016,STEPS,10.9
India,2017,STEPS,22.2
India,2018,STEPS,34.5
India,2019,STEPS,46.1
India,2020,STEPS,50.8
India,2021,STEPS,64.1
India,2022,STEPS,82.5
India,2023,STEPS,112.18125
India,2024,STEPS,141.8625
India,2025,STEPS,171.54375
India,2026,STEPS,201.225
India,2027,STEPS,230.90625
India,2028,STEPS,260.5875
India,2029,STEPS,290.26875
India,2030,STEPS,319.95
India,2031,STEPS,371.25
India,2032,STEPS,422.55
India,2033,STEPS,473.85
India,2034,STEPS,525.15
India,2035,STEPS,576.45
India,2036,STEPS,635.704
India,2037,STEPS,694.958
India,2038,STEPS,754.212
India,2039,STEPS,813.466
India,2040,STEPS,872.72
India,2041,STEPS,929.272
India,2042,STEPS,985.824
India,2043,STEPS,1042.376
India,2044,STEPS,1098.928
India,2045,STEPS,1155.48
India,2046,STEPS,1202.426
India,2047,STEPS,1249.372
India,2048,STEPS,1296.318
India,2049,STEPS,1343.264
India,2050,STEPS,1390.21
India,2012,TDS,0.9
India,2013,TDS,0.2
India,2014,TDS,3.3
India,2015,TDS,5
India,2016,TDS,10.9
India,2017,TDS,22.2
India,2018,TDS,34.5
