year,region,waste_type,tech_scenario,tech,percent
2025,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech1,0.324
2030,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech1,0.231428571
2035,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech1,0.173571429
2040,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech1,0.115714286
2045,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech1,0.057857143
2050,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech1,0
2025,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech2,0.264
2030,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech2,0.300152156
2035,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech2,0.322747253
2040,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech2,0.34534235
2045,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech2,0.367937447
2050,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech2,0.390532544
2025,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech3,0.155
2030,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech3,0.176225697
2035,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech3,0.189491758
2040,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech3,0.202757819
2045,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech3,0.21602388
2050,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech3,0.229289941
2025,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech4,0.081
2030,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech4,0.092092139
2035,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech4,0.099024725
2040,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech4,0.105957312
2045,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech4,0.112889899
2050,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech4,0.119822485
2025,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech5,0.176
2030,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech5,0.200101437
2035,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech5,0.215164835
2040,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech5,0.230228233
2045,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech5,0.245291631
2050,China,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech5,0.26035503
2025,India,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech1,0.308
2030,India,Fly_Ash_Coal,BAU,Fly_Ash_Coal_tech1,0.22
