region,year,scenario,cumulative_capacity_GW
world,2000,STEPS,16.8
world,2001,STEPS,23.8
world,2002,STEPS,30.4
world,2003,STEPS,37.9
world,2004,STEPS,46.6
world,2005,STEPS,57.9
world,2006,STEPS,72.6
world,2007,STEPS,90.8
world,2008,STEPS,114.7
world,2009,STEPS,148.9
world,2010,STEPS,177.7
world,2011,STEPS,216.2
world,2012,STEPS,261.3
world,2013,STEPS,292.1
world,2014,STEPS,348.9
world,2015,STEPS,402.9
world,2016,STEPS,452.5
world,2017,STEPS,496.4
world,2018,STEPS,563.2
world,2019,STEPS,622.1
world,2020,STEPS,730.5
world,2021,STEPS,825.1
world,2022,STEPS,899.1
world,2023,STEPS,1044.71125
world,2024,STEPS,1190.3225
world,2025,STEPS,1335.93375
world,2026,STEPS,1481.545
world,2027,STEPS,1627.15625
world,2028,STEPS,1772.7675
world,2029,STEPS,1918.37875
world,2030,STEPS,2063.99
world,2031,STEPS,2200.642
world,2032,STEPS,2337.294
world,2033,STEPS,2473.946
world,2034,STEPS,2610.598
world,2035,STEPS,2747.25
world,2036,STEPS,2846.222
world,2037,STEPS,2945.194
world,2038,STEPS,3044.166
world,2039,STEPS,3143.138
world,2040,STEPS,3242.11
world,2041,STEPS,3314.1
world,2042,STEPS,3386.09
world,2043,STEPS,3458.08
world,2044,STEPS,3530.07
world,2045,STEPS,3602.06
world,2046,STEPS,3656.494
world,2047,STEPS,3710.928
world,2048,STEPS,3765.362
world,2049,STEPS,3819.796
world,2050,STEPS,3874.23
world,2000,TDS,16.8
world,2001,TDS,23.8
world,2002,TDS,30.4
world,2003,TDS,37.9
world,2004,TDS,46.6
world,2005,TDS,57.9
world,2006,TDS,72.6
world,2007,TDS,90.8
world,2008,TDS,114.7
world,2009,TDS,148.9
world,2010,TDS,177.7
world,2011,TDS,216.2
world,2012,TDS,261.3
world,2013,TDS,292.1
world,2014,TDS,348.9
world,2015,TDS,402.9
world,2016,TDS,452.5
world,2017,TDS,496.4
world,2018,TDS,563.2
world,2019,TDS,622.1
world,2020,TDS,730.5
world,2021,TDS,825.1
world,2022,TDS,899.1
world,2023,TDS,1089.2475
world,2024,TDS,1279.395
world,2025,TDS,1469.5425
world,2026,TDS,1659.69
world,2027,TDS,1849.8375
world,2028,TDS,2039.985
world,2029,TDS,2230.1325
world,2030,TDS,2420.28
world,2031,TDS,2619.736
world,2032,TDS,2819.192
world,2033,TDS,3018.648
world,2034,TDS,3218.104
world,2035,TDS,3417.56
world,2036,TDS,3601.518
world,2037,TDS,3785.476
world,2038,TDS,3969.434
world,2039,TDS,4153.392
world,2040,TDS,4337.35
world,2041,TDS,4505.798
world,2042,TDS,4674.246
world,2043,TDS,4842.694
world,2044,TDS,5011.142
world,2045,TDS,5179.59
world,2046,TDS,5319.48
world,2047,TDS,5459.37
world,2048,TDS,5599.26
world,2049,TDS,5739.15
world,2050,TDS,5879.04
China,2008,STEPS,8.4
China,2009,STEPS,17.6
China,2010,STEPS,29.5
China,2011,STEPS,46
China,2012,STEPS,61.1
China,2013,STEPS,76.1
China,2014,STEPS,95.9
China,2015,STEPS,128.8
China,2016,STEPS,146.7
China,2017,STEPS,162
China,2018,STEPS,180.6
China,2019,STEPS,204
China,2020,STEPS,271
China,2021,STEPS,327.5
China,2022,STEPS,354.5
China,2023,STEPS,424.9125
China,2024,STEPS,495.325
China,2025,STEPS,565.7375
China,2026,STEPS,636.15
China,2027,STEPS,706.5625
China,2028,STEPS,776.975
China,2029,STEPS,847.3875
China,2030,STEPS,917.8
China,2031,STEPS,971.8
China,2032,STEPS,1025.8
China,2033,STEPS,1079.8
China,2034,STEPS,1133.8
China,2035,STEPS,1187.8
China,2036,STEPS,1220.842
China,2037,STEPS,1253.884
China,2038,STEPS,1286.926
China,2039,STEPS,1319.968
China,2040,STEPS,1353.01
China,2041,STEPS,1370.434
