year,region,scenario,steel_production
2019,world,STEPS,1817.54439
2019,Mideast,STEPS,41.78272981
2019,EU,STEPS,162.9526462
2019,USA,STEPS,83.56545961
2019,India,STEPS,108.6350975
2019,China,STEPS,1002.785515
2025,world,STEPS,1996.521737
2025,Mideast,STEPS,54.31754875
2025,EU,STEPS,154.5961003
2025,USA,STEPS,96.10027855
2025,India,STEPS,133.7047354
2025,China,STEPS,1032.033426
2030,world,STEPS,2104.455372
2030,Mideast,STEPS,66.85236769
2030,EU,STEPS,150.4178273
2030,USA,STEPS,96.10027855
2030,India,STEPS,192.2005571
2030,China,STEPS,1002.785515
2035,world,STEPS,2212.402079
2035,Mideast,STEPS,66.85236769
2035,EU,STEPS,162.9526462
2035,USA,STEPS,96.10027855
2035,India,STEPS,250.6963788
2035,China,STEPS,973.5332476
2040,world,STEPS,2324.527058
2040,Mideast,STEPS,83.56545961
2040,EU,STEPS,162.9526462
2040,USA,STEPS,96.10027855
2040,India,STEPS,317.5487465
2040,China,STEPS,931.7548747
2045,world,STEPS,2432.473764
2045,Mideast,STEPS,83.56545961
2045,EU,STEPS,162.9526462
2045,USA,STEPS,108.6350975
2045,India,STEPS,371.8662953
2045,China,STEPS,906.6852368
2050,world,STEPS,2527.872581
2050,Mideast,STEPS,83.56545961
2050,EU,STEPS,175.4874652
2050,USA,STEPS,96.10027855
2050,India,STEPS,426.183844
2050,China,STEPS,894.1504178
2025,world,TDS,1938.047699
2025,Mideast,TDS,54.31754875
2025,EU,TDS,154.6004572
2025,USA,TDS,79.38282972
2025,India,TDS,150.4178273
2025,China,TDS,990.2506964
2030,world,TDS,1949.894127
2030,Mideast,TDS,54.31754875
2030,EU,TDS,150.4178273
2030,USA,TDS,83.56545961
2030,India,TDS,179.6657382
2030,China,TDS,931.7548747
2035,world,TDS,1978.453647
2035,Mideast,TDS,71.03064067
2035,EU,TDS,137.8830084
2035,USA,TDS,79.38718663
2035,India,TDS,233.9832869
2035,China,TDS,864.902507
2040,world,TDS,1990.287004
2040,Mideast,TDS,66.85236769
2040,EU,TDS,142.0612813
2040,USA,TDS,79.38718663
2040,India,TDS,275.7660167
2040,China,TDS,810.5893151
2045,world,TDS,2031.381343
2045,Mideast,TDS,83.56545961
2045,EU,TDS,137.8830084
2045,USA,TDS,83.56545961
2045,India,TDS,313.3704735
2045,China,TDS,756.2674095
2050,world,TDS,2043.22777
2050,Mideast,TDS,66.85236769
2050,EU,TDS,137.8830084
2050,USA,TDS,83.56545961
2050,India,TDS,342.6183844
2050,China,TDS,727.0194986
2019,Brazil,STEPS,32.57
2025,Brazil,STEPS,35.21
2030,Brazil,STEPS,36.22
2035,Brazil,STEPS,38.19
2040,Brazil,STEPS,45.16
2045,Brazil,STEPS,41.7
2050,Brazil,STEPS,43.25
2025,Brazil,TDS,39.68351161
2030,Brazil,TDS,36.84423418
2035,Brazil,TDS,35.9264109
2040,Brazil,TDS,35.50069077
2045,Brazil,TDS,40.48280253
2050,Brazil,TDS,35.77574045
