year,region,scenario,BOF_share,EAF_share
2019,world,STEPS,0.703,0.297
2025,world,STEPS,0.642,0.358
2030,world,STEPS,0.642,0.358
2035,world,STEPS,0.611,0.389
2040,world,STEPS,0.581,0.419
2045,world,STEPS,0.55,0.45
2050,world,STEPS,0.52,0.48
2019,world,TDS,0.703,0.297
2025,world,TDS,0.572,0.428
2030,world,TDS,0.572,0.428
2035,world,TDS,0.507,0.494
2040,world,TDS,0.441,0.559
2045,world,TDS,0.376,0.625
2050,world,TDS,0.31,0.69
2019,China,STEPS,0.878,0.122
2025,China,STEPS,0.823,0.177
2030,China,STEPS,0.767,0.233
2035,China,STEPS,0.711,0.289
2040,China,STEPS,0.656,0.344
2045,China,STEPS,0.6,0.4
2050,China,STEPS,0.545,0.455
2019,China,TDS,0.878,0.122
2025,China,TDS,0.793,0.207
2030,China,TDS,0.708,0.292
2035,China,TDS,0.623,0.377
2040,China,TDS,0.537,0.463
2045,China,TDS,0.452,0.548
2050,China,TDS,0.367,0.633
2019,India,STEPS,0.422,0.578
2025,India,STEPS,0.442,0.558
2030,India,STEPS,0.463,0.537
2035,India,STEPS,0.483,0.517
2040,India,STEPS,0.503,0.497
2045,India,STEPS,0.524,0.476
2050,India,STEPS,0.544,0.456
2019,India,TDS,0.422,0.578
2025,India,TDS,0.391,0.609
2030,India,TDS,0.359,0.641
2035,India,TDS,0.328,0.672
2040,India,TDS,0.297,0.703
2045,India,TDS,0.265,0.735
2050,India,TDS,0.234,0.766
2019,USA,STEPS,0.322,0.678
2025,USA,STEPS,0.317,0.683
2030,USA,STEPS,0.311,0.689
2035,USA,STEPS,0.306,0.694
2040,USA,STEPS,0.3,0.7
2045,USA,STEPS,0.295,0.705
2050,USA,STEPS,0.289,0.711
2019,USA,TDS,0.322,0.678
2025,USA,TDS,0.287,0.713
2030,USA,TDS,0.252,0.748
2035,USA,TDS,0.217,0.783
2040,USA,TDS,0.181,0.819
2045,USA,TDS,0.146,0.854
2050,USA,TDS,0.111,0.889
2019,Mideast,STEPS,0.055,0.945
2025,Mideast,STEPS,0.051,0.949
2030,Mideast,STEPS,0.047,0.953
2035,Mideast,STEPS,0.043,0.957
2040,Mideast,STEPS,0.039,0.961
2045,Mideast,STEPS,0.035,0.965
2050,Mideast,STEPS,0.031,0.969
2019,Mideast,TDS,0.055,0.945
2025,Mideast,TDS,0.046,0.954
2030,Mideast,TDS,0.037,0.963
2035,Mideast,TDS,0.028,0.972
2040,Mideast,TDS,0.018,0.982
2045,Mideast,TDS,0.009,0.991
2050,Mideast,TDS,0,1
2019,EU,STEPS,0.567,0.433
2025,EU,STEPS,0.547,0.453
2030,EU,STEPS,0.526,0.474
2035,EU,STEPS,0.506,0.494
2040,EU,STEPS,0.486,0.514
2045,EU,STEPS,0.465,0.535
2050,EU,STEPS,0.445,0.555
2019,EU,TDS,0.567,0.433
2025,EU,TDS,0.511,0.489
2030,EU,TDS,0.456,0.544
2035,EU,TDS,0.4,0.6
2040,EU,TDS,0.344,0.656
2045,EU,TDS,0.289,0.711
2050,EU,TDS,0.233,0.767
2019,Brazil,STEPS,0.77,0.23
2025,Brazil,STEPS,0.703186344,0.296813656
2030,Brazil,STEPS,0.703186344,0.296813656
2035,Brazil,STEPS,0.669231863,0.330768137
2040,Brazil,STEPS,0.636372688,0.363627312
2045,Brazil,STEPS,0.602418208,0.397581792
2050,Brazil,STEPS,0.569559033,0.430440967
2019,Brazil,TDS,0.77,0.23
2025,Brazil,TDS,0.626514936,0.373485064
2030,Brazil,TDS,0.626514936,0.373485064
2035,Brazil,TDS,0.555320057,0.444679943
2040,Brazil,TDS,0.483029872,0.516970128
2045,Brazil,TDS,0.411834993,0.588165007
2050,Brazil,TDS,0.339544808,0.660455192
