year,region,waste_type,tech_scenario,tech,percent
2019,China,BF_Slag,BAU,BF_tech_1,0.2
2025,China,BF_Slag,BAU,BF_tech_1,0.1
2019,China,BF_Slag,BAU,BF_tech_3,0.56
2025,China,BF_Slag,BAU,BF_tech_3,0.63
2030,China,BF_Slag,BAU,BF_tech_3,0.7
2035,China,BF_Slag,BAU,BF_tech_3,0.7
2040,China,BF_Slag,BAU,BF_tech_3,0.7
2045,China,BF_Slag,BAU,BF_tech_3,0.7
2050,China,BF_Slag,BAU,BF_tech_3,0.7
2019,China,BF_Slag,BAU,BF_tech_4,0.12
2025,China,BF_Slag,BAU,BF_tech_4,0.135
2030,China,BF_Slag,BAU,BF_tech_4,0.15
2035,China,BF_Slag,BAU,BF_tech_4,0.15
2040,China,BF_Slag,BAU,BF_tech_4,0.15
2045,China,BF_Slag,BAU,BF_tech_4,0.15
2050,China,BF_Slag,BAU,BF_tech_4,0.15
2019,China,BF_Slag,BAU,BF_tech_5,0.12
2025,China,BF_Slag,BAU,BF_tech_5,0.135
2030,China,BF_Slag,BAU,BF_tech_5,0.15
2035,China,BF_Slag,BAU,BF_tech_5,0.15
2040,China,BF_Slag,BAU,BF_tech_5,0.15
2045,China,BF_Slag,BAU,BF_tech_5,0.15
2050,China,BF_Slag,BAU,BF_tech_5,0.15
2019,China,BF_Slag,CRT,BF_tech_1,0.2
2025,China,BF_Slag,CRT,BF_tech_1,0.1
2019,China,BF_Slag,CRT,BF_tech_3,0.56
2025,China,BF_Slag,CRT,BF_tech_3,0.618
2030,China,BF_Slag,CRT,BF_tech_3,0.677
2035,China,BF_Slag,CRT,BF_tech_3,0.665
2040,China,BF_Slag,CRT,BF_tech_3,0.653
2045,China,BF_Slag,CRT,BF_tech_3,0.642
2050,China,BF_Slag,CRT,BF_tech_3,0.63
2019,China,BF_Slag,CRT,BF_tech_4,0.12
2025,China,BF_Slag,CRT,BF_tech_4,0.133
2030,China,BF_Slag,CRT,BF_tech_4,0.145
2035,China,BF_Slag,CRT,BF_tech_4,0.143
2040,China,BF_Slag,CRT,BF_tech_4,0.14
2045,China,BF_Slag,CRT,BF_tech_4,0.138
2050,China,BF_Slag,CRT,BF_tech_4,0.135
2019,China,BF_Slag,CRT,BF_tech_5,0.12
2025,China,BF_Slag,CRT,BF_tech_5,0.133
2030,China,BF_Slag,CRT,BF_tech_5,0.145
2035,China,BF_Slag,CRT,BF_tech_5,0.143
2040,China,BF_Slag,CRT,BF_tech_5,0.14
2045,China,BF_Slag,CRT,BF_tech_5,0.138
2050,China,BF_Slag,CRT,BF_tech_5,0.135
2019,China,BF_Slag,CRT,BF_tech_7,0
2025,China,BF_Slag,CRT,BF_tech_7,0.017
2030,China,BF_Slag,CRT,BF_tech_7,0.033
2035,China,BF_Slag,CRT,BF_tech_7,0.05
2040,China,BF_Slag,CRT,BF_tech_7,0.067
2045,China,BF_Slag,CRT,BF_tech_7,0.083
2050,China,BF_Slag,CRT,BF_tech_7,0.1
2019,China,Steel_Slag,BAU,Steel_Slag_tech_2,0.71
2025,China,Steel_Slag,BAU,Steel_Slag_tech_2,0.43
2030,China,Steel_Slag,BAU,Steel_Slag_tech_2,0.38
2035,China,Steel_Slag,BAU,Steel_Slag_tech_2,0.33
2040,China,Steel_Slag,BAU,Steel_Slag_tech_2,0.28
2045,China,Steel_Slag,BAU,Steel_Slag_tech_2,0.23
2050,China,Steel_Slag,BAU,Steel_Slag_tech_2,0.18
2019,China,Steel_Slag,BAU,Steel_Slag_tech_3,0.055
2025,China,Steel_Slag,BAU,Steel_Slag_tech_3,0.184
2030,China,Steel_Slag,BAU,Steel_Slag_tech_3,0.201
2035,China,Steel_Slag,BAU,Steel_Slag_tech_3,0.217
2040,China,Steel_Slag,BAU,Steel_Slag_tech_3,0.233
2045,China,Steel_Slag,BAU,Steel_Slag_tech_3,0.249
2050,China,Steel_Slag,BAU,Steel_Slag_tech_3,0.265
2019,China,Steel_Slag,BAU,Steel_Slag_tech_5,0.06
2025,China,Steel_Slag,BAU,Steel_Slag_tech_5,0.201
2030,China,Steel_Slag,BAU,Steel_Slag_tech_5,0.219
2035,China,Steel_Slag,BAU,Steel_Slag_tech_5,0.236
2040,China,Steel_Slag,BAU,Steel_Slag_tech_5,0.254
2045,China,Steel_Slag,BAU,Steel_Slag_tech_5,0.272
2050,China,Steel_Slag,BAU,Steel_Slag_tech_5,0.289
2019,China,Steel_Slag,BAU,Steel_Slag_tech_6,0.055
2025,China,Steel_Slag,BAU,Steel_Slag_tech_6,0.184
2030,China,Steel_Slag,BAU,Steel_Slag_tech_6,0.201
2035,China,Steel_Slag,BAU,Steel_Slag_tech_6,0.217
2040,China,Steel_Slag,BAU,Steel_Slag_tech_6,0.233
2045,China,Steel_Slag,BAU,Steel_Slag_tech_6,0.249
2050,China,Steel_Slag,BAU,Steel_Slag_tech_6,0.265
2019,China,Steel_Slag,BAU,Steel_Slag_tech_4,0.12
2019,China,Steel_Slag,CRT,Steel_Slag_tech_2,0.71
2025,China,Steel_Slag,CRT,Steel_Slag_tech_2,0.43
2030,China,Steel_Slag,CRT,Steel_Slag_tech_2,0.38
2035,China,Steel_Slag,CRT,Steel_Slag_tech_2,0.33
2040,China,Steel_Slag,CRT,Steel_Slag_tech_2,0.28
2045,China,Steel_Slag,CRT,Steel_Slag_tech_2,0.23
2050,China,Steel_Slag,CRT,Steel_Slag_tech_2,0.18
2019,China,Steel_Slag,CRT,Steel_Slag_tech_3,0.055
2025,China,Steel_Slag,CRT,Steel_Slag_tech_3,0.169
2030,China,Steel_Slag,CRT,Steel_Slag_tech_3,0.179
2035,China,Steel_Slag,CRT,Steel_Slag_tech_3,0.189
2040,China,Steel_Slag,CRT,Steel_Slag_tech_3,0.2
2045,China,Steel_Slag,CRT,Steel_Slag_tech_3,0.21
2050,China,Steel_Slag,CRT,Steel_Slag_tech_3,0.22
2019,China,Steel_Slag,CRT,Steel_Slag_tech_5,0.06
2025,China,Steel_Slag,CRT,Steel_Slag_tech_5,0.215
2030,China,Steel_Slag,CRT,Steel_Slag_tech_5,0.228
2035,China,Steel_Slag,CRT,Steel_Slag_tech_5,0.241
2040,China,Steel_Slag,CRT,Steel_Slag_tech_5,0.254
2045,China,Steel_Slag,CRT,Steel_Slag_tech_5,0.267
2050,China,Steel_Slag,CRT,Steel_Slag_tech_5,0.28
2019,China,Steel_Slag,CRT,Steel_Slag_tech_6,0.055
2025,China,Steel_Slag,CRT,Steel_Slag_tech_6,0.169
2030,China,Steel_Slag,CRT,Steel_Slag_tech_6,0.179
2035,China,Steel_Slag,CRT,Steel_Slag_tech_6,0.189
2040,China,Steel_Slag,CRT,Steel_Slag_tech_6,0.2
2045,China,Steel_Slag,CRT,Steel_Slag_tech_6,0.21
2050,China,Steel_Slag,CRT,Steel_Slag_tech_6,0.22
2019,China,Steel_Slag,CRT,Steel_Slag_tech_7,0
2025,China,Steel_Slag,CRT,Steel_Slag_tech_7,0.017
2030,China,Steel_Slag,CRT,Steel_Slag_tech_7,0.033
2035,China,Steel_Slag,CRT,Steel_Slag_tech_7,0.05
2040,China,Steel_Slag,CRT,Steel_Slag_tech_7,0.067
2045,China,Steel_Slag,CRT,Steel_Slag_tech_7,0.083
2050,China,Steel_Slag,CRT,Steel_Slag_tech_7,0.1
2019,China,Steel_Slag,CRT,Steel_Slag_tech_4,0.12
2019,China,Iron_Sludge,BAU,Iron_Sludge_tech2,0.245
2025,China,Iron_Sludge,BAU,Iron_Sludge_tech2,0.245
2030,China,Iron_Sludge,BAU,Iron_Sludge_tech2,0.245
2035,China,Iron_Sludge,BAU,Iron_Sludge_tech2,0.245
2040,China,Iron_Sludge,BAU,Iron_Sludge_tech2,0.245
2045,China,Iron_Sludge,BAU,Iron_Sludge_tech2,0.245
2050,China,Iron_Sludge,BAU,Iron_Sludge_tech2,0.245
2019,China,Iron_Sludge,BAU,Iron_Sludge_tech1,0.245
2025,China,Iron_Sludge,BAU,Iron_Sludge_tech1,0.245
