tech,EB_1,EB_2,EB_2_cost,EB_3,EB_3_cost,EB_4,EB_4_cost,EB_5,EB_5_cost,EB_6,EB_6_cost,EB_7,EB_7_cost,EB_8,EB_8_cost,EB_9,EB_9_cost,EB_10,EB_10_cost,EB_11,EB_11_cost,EB_12,EB_12_cost,EB_13,EB_13_cost,EB_14,EB_14_cost,EB_15,EB_15_cost,EB_16,EB_16_cost,EB_17,EB_17_cost,EB_18,EB_18_cost,Cost,PB
BF_tech_1,96.62865,1.14E-05,0.000391214,3.3867233,0.016901686,0.142904,0.314336783,0.068363979,6.847761361,0.1708798,0.0840663,0.12483544,0.779488466,0.012766432,0.056464958,0.001483269,0.024996123,43.891558,0.03321994,0.64638091,0.01597617,0.88917198,0.003364911,1.3905985,6.56362492,21.059115,1.768220167,0.62859855,0.073594684,0.033590679,0.000556141,16.98963,0.56257422,0.20666298,0.099470654,50,0
BF_tech_2,24.531306,1.71E-06,5.90E-05,0.060738185,0.000303118,0.80189893,1.763885755,0.096786489,9.69473675,0.80609919,0.396569847,0.31296586,1.954198889,0.009755353,0.043147185,0.000556759,0.009382531,16.14115,0.012216655,0.061783417,0.00152706,0.10414718,0.000394126,0.2378893,1.122837496,1.9409969,0.162975028,0.17546346,0.020542806,0.012414494,0.000205539,9.0404604,0.299354957,0.01698327,0.008174357,150,0
BF_tech_3,-1174.5011,-0.000149726,-0.005152613,4.671875,0.023315329,-2.477154,-5.448837116,-1.9595495,-196.2806663,-2.366409,-1.164182358,-3.9947615,-24.94380214,-0.49457093,-2.187449636,-0.009976771,-0.168129044,-7016.8415,-5.310794725,-64.955916,-1.605472505,-88.633097,-0.335416002,-73.051875,-344.80485,-1966.23479,-165.0941176,-35.401455,-4.144710308,-12.444127,-0.206029944,27.0828,0.89678734,-6.0236613,-2.899297814,429.15,455.81
BF_tech_4,-125.6899,-2.63E-05,-0.000906134,6.858778,0.034229225,10.5679486,23.24564019,2.947612,295.2511521,10.5557112,5.193004571,9.8650822,61.59883599,0.0102029,0.045126651,-0.003250465,-0.054776999,-3936.2606,-2.979213943,-16.21271,-0.400718853,-22.857166,-0.08649883,-17.344559,-81.86631848,-315.61764,-26.5007089,-9.725243,-1.138606165,-2.7612949,-0.045717103,-35.50882,-1.175796455,-8.267664,-3.979377155,375.86,331.84
BF_tech_5,-247.5906,-5.13E-05,-0.001764807,10.117075,0.050489991,10.3718556,22.81430696,2.568564,257.2833467,10.4009512,5.116868594,9.1536282,57.15642615,-0.10684261,-0.472556744,-0.00391932,-0.066048577,-5547.2102,-4.198483701,-31.789898,-0.785729928,-44.048559,-0.166693843,-33.456552,-157.9149254,-789.95224,-66.32802385,-17.53218,-2.052622051,-5.445849,-0.090163654,-3.58312,-0.118647136,-8.641183,-4.159158647,177.38,331.84
BF_tech_6,-124.611148,-1.35E-05,-0.000464953,0.4816912,0.002403915,-0.346392769,-0.761938005,-0.171308,-17.15927482,-0.384009691,-0.188918022,-0.04864372,-0.303737614,-0.050153297,-0.221824221,-0.001186146,-0.019988992,268.79371,0.203440283,1.3872796,0.034288474,1.6943072,0.006411801,-3.2610562,-15.39218526,-0.077989,-0.006548315,-1.2313502,-0.14416328,-6.93803723,-0.11486892,-26.794553,-0.887242675,0.22287917,0.107275801,62.32,65.1
BF_tech_7,-7244.54144,-0.001905223,-0.065565694,-502.5736,-2.508129736,-21.2399716,-46.72020617,-20.2736953,-2030.739424,-21.4760016,-10.56536811,-45.8093291,-286.0393145,-3.62989949,-16.05476957,0.0651329,1.097622887,359.511,0.272100934,-30.9955,-0.766095316,-49.47602,-0.187233092,-1272.79529,-6007.593769,-3029.4656,-254.3678673,-64.273862,-7.525016651,-354.409265,-5.867741555,-1528.35648,-50.60816245,-161.342488,-77.65707591,97.64,1034.77
FGD_Gypsum_Coal_tech1,15.908573,4.70E-06,0.000161673,0.44869881,0.002239264,0.094544431,0.207963334,7.1358389,714.7700091,0.098235967,0.048328324,24.562739,153.3728863,0.003268063,0.014454393,0.000591262,0.009963971,48.398623,0.036631175,4.3233884,0.106858338,5.7895272,0.021909424,2.5234062,11.91047726,279.99274,23.50947842,1.1702025,0.137004266,0.043644577,0.000722597,6.618919,0.219170941,0.28035762,0.134941225,150,0
FGD_Gypsum_Coal_tech2,-6608.985,-0.000517516,-0.017809636,15.37209,0.076715522,-6.633315,-14.59087847,-6.6677047,-667.8787759,-6.850025,-3.369949259,-15.373799,-95.9959688,-1.27587627,-5.643103776,-0.073436807,-1.237560743,-19669.6869,-14.88727791,-171.516144,-4.239251331,-235.886836,-0.892671271,-207.454844,-979.1868637,-5182.12471,-435.1150284,-106.45319,-12.46326271,-42.385698,-0.70175457,-718.9648,-23.80693763,-7.161585,-3.447001201,1186.2,1159.8
FGD_Gypsum_Coal_tech3,248.16145,-7.83E-05,-0.002693183,3.482027,0.017377306,-0.1358055,-0.298722667,0.00981722,0.983353818,-0.10564,-0.051970823,0.5229674,3.265475385,0.04062569,0.179684339,-0.015589078,-0.262707922,-413.2831,-0.3127991,-2.908778,-0.071894346,-3.7452156,-0.014173094,-3.682926,-17.38341072,-131.20428,-11.01651489,58.342747,6.830617128,-3.32118951,-0.054986942,50.39494,1.668717569,-0.5057455,-0.243424514,308.02,553.45
